At1,At2,Class
-0.216,-1.38,b'-1.0'
-0.554,-0.38,b'1.0'
0.0698,-1.25,b'-1.0'
-0.869,0.625,b'-1.0'
-1.53,-1.17,b'1.0'
-0.175,-0.909,b'-1.0'
-1.5,-1.14,b'1.0'
0.528,-1.04,b'1.0'
1.07,0.61,b'-1.0'
-0.987,-0.735,b'1.0'
-0.468,-1.17,b'-1.0'
1.77,0.239,b'-1.0'
0.885,-0.372,b'1.0'
2.59,-1.15,b'-1.0'
1.04,0.285,b'-1.0'
0.736,1.64,b'-1.0'
1.23,0.458,b'-1.0'
-0.137,-1.39,b'-1.0'
-0.0574,-0.208,b'1.0'
-0.496,1.03,b'-1.0'
-1.04,0.984,b'-1.0'
0.952,-1.9,b'1.0'
-0.21,0.11,b'1.0'
-1.95,0.614,b'-1.0'
1.68,-0.472,b'-1.0'
-0.866,0.751,b'-1.0'
0.322,-1.04,b'-1.0'
-1.71,-0.653,b'1.0'
-0.486,-1.53,b'-1.0'
0.587,-0.311,b'1.0'
-0.55,0.236,b'1.0'
1.4,-0.874,b'1.0'
-0.384,-1.08,b'-1.0'
0.746,0.991,b'-1.0'
0.758,-1.45,b'-1.0'
-0.0468,-0.332,b'1.0'
0.698,1.02,b'-1.0'
-1.53,0.658,b'-1.0'
-0.162,-1.24,b'-1.0'
-0.507,0.69,b'1.0'
1.41,-1.38,b'1.0'
-0.735,-1.19,b'-1.0'
-0.141,-0.119,b'1.0'
1.31,0.628,b'-1.0'
1.38,-1.02,b'1.0'
1.18,-1.19,b'1.0'
-0.0785,-1.16,b'-1.0'
0.844,1.22,b'-1.0'
0.913,-1.6,b'1.0'
-1.04,1.33,b'-1.0'
-1.1,0.145,b'1.0'
-0.244,-1.2,b'-1.0'
0.0643,-1.28,b'-1.0'
0.483,-1.23,b'-1.0'
1.37,1.29,b'1.0'
-0.869,0.634,b'-1.0'
-0.0547,-1.06,b'-1.0'
0.816,-0.133,b'1.0'
-1.49,0.744,b'-1.0'
-0.813,-0.665,b'1.0'
1.6,0.0487,b'-1.0'
0.742,1.56,b'1.0'
1.45,-0.188,b'-1.0'
-0.791,-1.44,b'-1.0'
-1.31,0.118,b'1.0'
0.0336,0.323,b'1.0'
0.308,-1.34,b'-1.0'
0.856,-1.11,b'1.0'
0.532,-0.0431,b'1.0'
-0.171,1.68,b'1.0'
-0.305,0.247,b'1.0'
-0.422,-0.241,b'1.0'
0.836,0.849,b'-1.0'
1.77,0.013,b'-1.0'
-1.56,0.514,b'-1.0'
0.137,-0.862,b'-1.0'
-1.07,-0.017,b'1.0'
-1.31,-0.32,b'1.0'
-1.33,-0.581,b'1.0'
-1.76,-1.58,b'1.0'
-0.258,-1.06,b'-1.0'
-0.253,-0.809,b'-1.0'
0.395,1.35,b'1.0'
-1.39,-0.156,b'1.0'
0.446,-1.07,b'-1.0'
1.52,0.795,b'-1.0'
1.44,0.898,b'-1.0'
1.04,0.952,b'-1.0'
-1.82,-0.847,b'1.0'
-1.11,0.276,b'1.0'
-1.2,-1.19,b'-1.0'
0.268,1.14,b'-1.0'
1.29,-1.19,b'1.0'
-0.935,1.02,b'-1.0'
0.247,-0.96,b'-1.0'
0.387,1.59,b'1.0'
0.247,0.41,b'1.0'
0.722,0.153,b'-1.0'
0.249,-0.451,b'1.0'
0.923,0.166,b'1.0'
-0.237,-0.0378,b'1.0'
1.27,0.496,b'-1.0'
-1.2,1.43,b'-1.0'
-1.19,-0.939,b'-1.0'
0.0209,-0.973,b'-1.0'
0.637,0.984,b'-1.0'
0.714,-1.08,b'1.0'
-0.215,0.549,b'1.0'
0.306,-0.161,b'1.0'
0.205,-1.28,b'-1.0'
1.51,1.52,b'1.0'
-0.761,0.373,b'1.0'
-0.706,-0.697,b'-1.0'
-0.383,0.671,b'1.0'
-1.11,-0.44,b'1.0'
0.496,-0.614,b'1.0'
-0.0529,-0.0168,b'1.0'
2.09,1.1,b'1.0'
-1.28,-1.17,b'1.0'
1.44,0.0946,b'-1.0'
2.06,-0.893,b'-1.0'
-0.638,-0.752,b'-1.0'
0.402,-0.39,b'1.0'
0.122,0.599,b'1.0'
1.42,1.49,b'1.0'
-1.55,0.588,b'-1.0'
0.854,0.0949,b'1.0'
-0.268,0.75,b'1.0'
-0.57,0.502,b'1.0'
-0.381,-0.959,b'-1.0'
0.236,0.443,b'1.0'
0.898,-0.719,b'1.0'
-0.432,1.13,b'-1.0'
1.14,-0.938,b'1.0'
0.0935,2.1,b'-1.0'
0.463,0.935,b'-1.0'
-0.23,-1.02,b'-1.0'
0.671,0.181,b'1.0'
0.168,1.7,b'-1.0'
-0.175,0.0644,b'1.0'
0.796,0.423,b'1.0'
-0.824,-0.471,b'1.0'
-0.93,-0.502,b'1.0'
-1.06,1.49,b'-1.0'
0.375,1.27,b'-1.0'
2.45,1.25,b'1.0'
-2.04,0.401,b'-1.0'
0.0735,-1.01,b'-1.0'
-0.737,-0.0677,b'1.0'
0.848,0.402,b'-1.0'
0.281,0.343,b'1.0'
-1.13,-0.0974,b'1.0'
-0.821,-1.44,b'-1.0'
-0.211,-0.334,b'1.0'
-0.364,-1.4,b'-1.0'
-1.27,-0.673,b'1.0'
0.784,1.39,b'-1.0'
-1.02,0.883,b'-1.0'
0.833,-0.0565,b'1.0'
0.478,1.31,b'1.0'
-1.14,-0.245,b'1.0'
1.14,0.494,b'-1.0'
0.667,-1.01,b'1.0'
2.17,0.926,b'1.0'
-0.129,0.877,b'1.0'
-0.581,0.582,b'1.0'
0.427,1.77,b'1.0'
-0.138,0.425,b'1.0'
-1.98,0.875,b'-1.0'
-0.337,0.559,b'1.0'
-0.369,-0.965,b'-1.0'
0.325,-0.153,b'1.0'
-0.232,-0.364,b'1.0'
-0.749,1.26,b'-1.0'
-0.566,1.19,b'-1.0'
1.33,-0.774,b'1.0'
-1.25,-1.47,b'-1.0'
0.00453,1.47,b'-1.0'
-1.81,-0.543,b'1.0'
-0.307,0.938,b'-1.0'
-1.18,0.732,b'-1.0'
-1.68,0.93,b'-1.0'
-1.52,-1.4,b'1.0'
-1.45,-0.701,b'1.0'
0.616,1.77,b'1.0'
-0.0222,-0.202,b'1.0'
0.246,-0.767,b'-1.0'
-0.763,-0.573,b'1.0'
-0.581,-0.182,b'1.0'
1.42,-0.0465,b'-1.0'
-0.139,-1.27,b'-1.0'
-0.179,0.19,b'1.0'
-0.721,1.19,b'-1.0'
-0.709,-0.942,b'-1.0'
0.945,0.239,b'1.0'
-0.891,0.593,b'-1.0'
-1.18,0.862,b'-1.0'
1.3,-0.028,b'-1.0'
0.576,-0.342,b'1.0'
0.0381,0.167,b'1.0'
-0.219,-0.195,b'1.0'
0.855,0.959,b'-1.0'
-1.08,-1.17,b'-1.0'
-0.596,-0.989,b'-1.0'
-1.41,-0.856,b'1.0'
-0.298,-0.243,b'1.0'
0.444,1.14,b'-1.0'
1.01,0.397,b'-1.0'
1.31,-0.36,b'1.0'
1.78,1.19,b'1.0'
1.1,0.458,b'-1.0'
-1.33,-0.647,b'1.0'
-1.6,-0.541,b'1.0'
-1.2,0.455,b'-1.0'
1.01,1.57,b'1.0'
1.38,0.583,b'-1.0'
-0.223,1.04,b'-1.0'
-1.0,-1.22,b'-1.0'
0.576,-0.665,b'1.0'
-0.394,1.39,b'-1.0'
-0.573,-0.88,b'-1.0'
-2.19,0.0991,b'-1.0'
0.729,1.49,b'1.0'
0.308,-0.913,b'-1.0'
0.661,0.0147,b'1.0'
0.515,0.884,b'-1.0'
1.32,-0.144,b'-1.0'
-1.05,-0.382,b'1.0'
1.46,-0.0465,b'-1.0'
1.22,-0.159,b'-1.0'
0.639,-0.815,b'-1.0'
-0.235,0.352,b'1.0'
-2.0,0.403,b'-1.0'
-0.158,-1.08,b'-1.0'
1.71,1.39,b'1.0'
0.905,-0.551,b'1.0'
-0.0949,-0.821,b'-1.0'
0.781,1.08,b'-1.0'
-0.624,1.75,b'-1.0'
-1.4,1.19,b'-1.0'
-1.21,0.357,b'1.0'
0.123,-1.24,b'-1.0'
1.01,0.446,b'-1.0'
-0.666,-1.34,b'-1.0'
-0.819,-0.943,b'-1.0'
0.202,-1.17,b'-1.0'
0.745,0.681,b'-1.0'
-0.461,-1.07,b'-1.0'
0.622,-0.546,b'1.0'
-1.51,-1.39,b'1.0'
1.05,0.409,b'-1.0'
0.751,0.608,b'-1.0'
-1.13,0.164,b'1.0'
2.33,1.21,b'1.0'
0.855,-0.265,b'1.0'
-0.0247,-0.765,b'-1.0'
0.21,-1.26,b'-1.0'
-1.67,-0.212,b'1.0'
-0.394,-0.338,b'1.0'
-0.389,-1.2,b'-1.0'
1.11,1.33,b'1.0'
-1.24,0.323,b'1.0'
-0.116,-1.23,b'-1.0'
0.372,1.6,b'-1.0'
-1.23,-0.806,b'1.0'
1.31,-1.72,b'1.0'
-0.254,-1.37,b'-1.0'
-1.15,-0.647,b'1.0'
1.21,-1.77,b'1.0'
0.00425,1.61,b'-1.0'
-0.67,1.22,b'-1.0'
1.57,1.16,b'1.0'
-0.241,0.897,b'1.0'
1.04,0.93,b'-1.0'
1.39,0.504,b'-1.0'
1.96,-0.709,b'-1.0'
0.978,-1.33,b'1.0'
-1.67,-0.00451,b'1.0'
-0.529,-1.02,b'-1.0'
-0.137,1.44,b'-1.0'
-1.87,-0.78,b'1.0'
1.04,-0.24,b'1.0'
-1.21,-0.785,b'1.0'
0.8,0.662,b'-1.0'
0.133,2.05,b'-1.0'
1.34,-1.8,b'1.0'
0.175,0.652,b'1.0'
1.14,-0.0829,b'-1.0'
-0.634,1.26,b'-1.0'
-0.617,-0.792,b'-1.0'
-1.42,0.728,b'-1.0'
0.897,0.742,b'-1.0'
-0.0814,2.18,b'1.0'
1.27,1.6,b'1.0'
-0.759,0.366,b'1.0'
-0.847,-0.896,b'-1.0'
1.23,-0.785,b'1.0'
-0.843,-1.14,b'-1.0'
0.357,0.647,b'-1.0'
-1.36,-0.258,b'1.0'
0.977,0.597,b'-1.0'
1.05,-0.467,b'1.0'
-0.717,1.23,b'-1.0'
0.955,-0.0158,b'-1.0'
1.6,-0.183,b'-1.0'
-1.21,-0.733,b'1.0'
-0.593,1.28,b'-1.0'
1.14,0.814,b'-1.0'
-0.597,0.232,b'1.0'
0.575,-0.19,b'1.0'
-1.34,-0.31,b'1.0'
-0.129,-0.061,b'1.0'
0.447,0.92,b'-1.0'
0.377,-0.643,b'1.0'
-1.54,0.643,b'-1.0'
-1.25,-0.689,b'1.0'
2.34,1.18,b'1.0'
-0.341,1.55,b'-1.0'
1.27,0.0842,b'-1.0'
-1.73,0.562,b'-1.0'
0.957,0.0986,b'-1.0'
-0.639,-1.04,b'-1.0'
0.303,-1.35,b'-1.0'
-0.439,1.37,b'-1.0'
-0.287,-1.07,b'-1.0'
1.46,0.651,b'-1.0'
0.957,-0.786,b'1.0'
-0.0107,-0.96,b'-1.0'
1.21,0.0512,b'-1.0'
0.105,-1.67,b'-1.0'
0.786,0.859,b'-1.0'
-1.08,0.356,b'1.0'
0.0909,-1.39,b'-1.0'
-1.34,0.805,b'-1.0'
-0.647,1.08,b'-1.0'
1.17,-1.4,b'1.0'
-0.811,-1.35,b'-1.0'
-0.961,-0.102,b'1.0'
-0.968,-0.226,b'1.0'
-0.322,0.535,b'1.0'
-1.26,-0.515,b'1.0'
0.62,-0.986,b'1.0'
-2.32,0.0861,b'-1.0'
1.21,1.31,b'1.0'
0.196,1.08,b'-1.0'
1.45,1.33,b'1.0'
0.137,-0.247,b'1.0'
-0.974,-1.43,b'-1.0'
-0.335,-1.69,b'-1.0'
-0.0999,1.97,b'1.0'
0.272,0.813,b'-1.0'
0.56,1.18,b'-1.0'
-0.0527,-0.746,b'-1.0'
-0.188,-0.998,b'-1.0'
-0.369,0.692,b'1.0'
-0.226,-1.06,b'-1.0'
0.458,-0.709,b'1.0'
-1.26,-0.912,b'-1.0'
-1.33,-0.392,b'1.0'
-0.621,1.52,b'-1.0'
-0.753,1.1,b'-1.0'
-0.435,-1.08,b'-1.0'
0.328,1.28,b'-1.0'
0.227,1.71,b'1.0'
-0.715,0.0859,b'1.0'
0.81,1.93,b'-1.0'
0.364,1.98,b'1.0'
0.624,1.1,b'-1.0'
0.922,0.93,b'-1.0'
-0.416,-0.941,b'-1.0'
-1.37,0.968,b'-1.0'
0.269,1.62,b'1.0'
0.353,1.58,b'-1.0'
0.11,0.553,b'1.0'
1.49,0.385,b'-1.0'
0.571,-1.53,b'-1.0'
0.171,1.59,b'1.0'
0.409,-0.0572,b'1.0'
1.93,-0.842,b'-1.0'
0.907,0.191,b'-1.0'
0.0413,0.345,b'1.0'
0.484,-1.3,b'-1.0'
-0.0305,-1.09,b'-1.0'
1.0,-0.0897,b'-1.0'
1.09,0.299,b'-1.0'
-0.543,-0.0204,b'1.0'
0.659,0.913,b'-1.0'
-0.542,-0.739,b'-1.0'
-1.02,1.53,b'-1.0'
-1.63,0.293,b'-1.0'
1.49,0.627,b'-1.0'
-0.583,-1.05,b'-1.0'
-0.807,1.12,b'-1.0'
-0.683,1.38,b'-1.0'
0.0734,-0.162,b'1.0'
0.388,1.64,b'-1.0'
0.874,1.79,b'-1.0'
0.584,0.679,b'-1.0'
1.42,0.374,b'-1.0'
-0.779,0.676,b'1.0'
0.678,0.335,b'-1.0'
0.204,-1.06,b'-1.0'
1.43,0.498,b'-1.0'
-0.779,-1.2,b'-1.0'
-1.3,0.577,b'-1.0'
1.03,0.0331,b'-1.0'
-0.532,-1.17,b'-1.0'
0.119,-1.28,b'-1.0'
1.53,-1.05,b'1.0'
-0.481,-0.904,b'-1.0'
0.858,0.399,b'-1.0'
0.126,0.819,b'-1.0'
-0.88,-1.27,b'-1.0'
0.145,-0.626,b'1.0'
0.534,1.86,b'1.0'
2.03,1.1,b'1.0'
-0.546,0.442,b'1.0'
1.42,1.8,b'1.0'
1.41,-2.09,b'1.0'
-0.566,-0.563,b'1.0'
-0.973,0.495,b'1.0'
0.932,1.43,b'1.0'
0.472,1.37,b'-1.0'
0.74,0.053,b'1.0'
-0.214,1.76,b'-1.0'
-0.53,-0.944,b'-1.0'
-0.936,-1.5,b'-1.0'
0.37,-0.0513,b'1.0'
0.695,0.651,b'-1.0'
0.88,0.275,b'-1.0'
-0.563,-0.164,b'1.0'
1.27,-0.675,b'1.0'
-1.32,-0.146,b'1.0'
1.7,-0.489,b'-1.0'
0.832,0.442,b'-1.0'
0.561,1.74,b'1.0'
0.617,1.11,b'-1.0'
-1.41,1.14,b'-1.0'
1.71,-0.225,b'-1.0'
0.473,0.339,b'1.0'
-0.855,1.44,b'-1.0'
-1.72,-0.41,b'1.0'
0.18,-0.0627,b'1.0'
0.712,0.837,b'-1.0'
0.211,1.71,b'1.0'
-0.755,-0.759,b'1.0'
0.661,1.2,b'-1.0'
0.902,0.947,b'-1.0'
0.544,-0.842,b'1.0'
1.67,0.974,b'1.0'
-0.0571,-1.5,b'-1.0'
-1.61,-0.39,b'1.0'
-0.261,-1.27,b'-1.0'
1.8,1.53,b'1.0'
0.134,-1.18,b'-1.0'
-0.279,-1.06,b'-1.0'
0.405,-0.555,b'1.0'
-1.64,-0.562,b'1.0'
-0.146,1.83,b'1.0'
0.499,-1.17,b'-1.0'
-0.171,-1.09,b'-1.0'
-0.175,-0.946,b'-1.0'
1.54,-0.336,b'-1.0'
1.33,0.406,b'-1.0'
0.833,0.653,b'-1.0'
0.69,1.57,b'-1.0'
-0.542,0.918,b'-1.0'
1.19,-0.319,b'1.0'
1.73,1.26,b'1.0'
-2.01,0.439,b'-1.0'
0.316,1.43,b'1.0'
0.933,0.711,b'-1.0'
2.43,0.869,b'1.0'
-0.472,-1.16,b'-1.0'
-1.17,0.126,b'1.0'
2.22,-2.04,b'-1.0'
1.07,0.438,b'-1.0'
-0.125,0.521,b'1.0'
0.857,0.875,b'-1.0'
0.569,-0.858,b'-1.0'
0.646,-0.932,b'1.0'
-0.983,1.1,b'-1.0'
-0.829,1.06,b'-1.0'
0.22,-0.867,b'-1.0'
-2.09,-1.22,b'1.0'
-1.64,-0.962,b'1.0'
0.0604,1.64,b'-1.0'
1.62,-1.16,b'1.0'
-0.021,-1.09,b'-1.0'
-1.11,-0.653,b'1.0'
1.13,-0.0116,b'-1.0'
-0.838,-1.17,b'-1.0'
0.102,-1.03,b'-1.0'
0.576,-1.05,b'1.0'
0.635,1.67,b'1.0'
0.336,0.611,b'1.0'
0.32,-0.998,b'-1.0'
-1.58,-1.61,b'1.0'
-0.129,-1.69,b'-1.0'
-0.249,0.505,b'1.0'
-0.986,-1.27,b'-1.0'
0.335,-0.483,b'1.0'
0.133,-0.568,b'1.0'
1.08,-1.02,b'1.0'
-0.486,-0.887,b'-1.0'
2.08,1.35,b'1.0'
0.638,1.11,b'-1.0'
0.0965,-1.1,b'-1.0'
1.03,-0.382,b'1.0'
-0.705,0.129,b'1.0'
1.35,1.1,b'1.0'
-0.1,-1.05,b'-1.0'
0.431,-1.56,b'-1.0'
-1.37,-0.123,b'1.0'
-0.995,-0.832,b'-1.0'
-0.981,-1.04,b'-1.0'
-1.9,-1.32,b'1.0'
0.982,-0.452,b'1.0'
-0.494,-0.719,b'-1.0'
0.995,0.502,b'-1.0'
-0.507,0.357,b'1.0'
0.0853,0.789,b'1.0'
-0.0659,-1.33,b'-1.0'
-1.51,-0.276,b'1.0'
-1.03,0.681,b'-1.0'
1.19,-1.25,b'1.0'
-1.49,0.228,b'1.0'
0.409,1.76,b'-1.0'
-0.606,-0.129,b'1.0'
1.18,0.597,b'-1.0'
0.108,-0.304,b'1.0'
0.418,-0.897,b'1.0'
0.381,1.55,b'-1.0'
-0.951,-1.3,b'-1.0'
-0.119,2.06,b'1.0'
1.14,0.148,b'-1.0'
1.31,1.62,b'1.0'
0.724,0.417,b'-1.0'
-0.107,-0.232,b'1.0'
-1.57,0.905,b'-1.0'
-0.214,1.58,b'-1.0'
-0.212,-0.155,b'1.0'
-0.0683,-0.404,b'1.0'
-0.951,-1.33,b'-1.0'
0.533,0.541,b'1.0'
-1.36,0.887,b'-1.0'
0.98,-0.832,b'1.0'
-1.29,1.52,b'-1.0'
1.08,-0.000817,b'-1.0'
-0.147,1.85,b'-1.0'
-0.135,0.0707,b'1.0'
0.318,-0.87,b'-1.0'
0.632,1.74,b'-1.0'
-1.43,1.25,b'-1.0'
-0.499,-1.31,b'-1.0'
0.296,1.51,b'-1.0'
0.416,0.1,b'1.0'
-0.337,1.48,b'-1.0'
-1.3,-0.829,b'1.0'
-0.0299,0.617,b'1.0'
-1.78,-0.843,b'1.0'
0.314,-1.25,b'-1.0'
-0.801,1.78,b'-1.0'
0.0984,0.629,b'1.0'
-1.68,-0.528,b'1.0'
0.423,0.598,b'1.0'
0.00295,-0.125,b'1.0'
-0.528,-1.23,b'-1.0'
0.17,-0.719,b'-1.0'
0.202,-1.37,b'-1.0'
0.535,1.99,b'-1.0'
-0.491,1.22,b'-1.0'
-1.33,-0.276,b'1.0'
0.595,0.546,b'1.0'
-0.219,0.524,b'1.0'
0.0182,1.68,b'-1.0'
-0.907,0.416,b'1.0'
1.86,-0.36,b'-1.0'
-0.733,-1.34,b'-1.0'
-1.39,-0.322,b'1.0'
0.0578,-1.32,b'-1.0'
-1.7,0.869,b'-1.0'
-0.166,0.165,b'1.0'
-0.8,-1.38,b'-1.0'
-1.02,-0.146,b'1.0'
-0.145,-1.39,b'-1.0'
-0.439,0.331,b'1.0'
0.136,1.46,b'1.0'
-0.669,0.51,b'1.0'
-1.49,-0.0266,b'1.0'
0.386,-0.997,b'-1.0'
0.812,-0.15,b'1.0'
-0.303,-0.883,b'-1.0'
-0.621,1.16,b'-1.0'
-2.04,-0.978,b'1.0'
-0.772,0.933,b'-1.0'
-1.06,-0.86,b'1.0'
0.0914,0.493,b'1.0'
-1.17,0.222,b'1.0'
0.553,-0.159,b'1.0'
0.759,0.0328,b'1.0'
-1.04,-1.24,b'-1.0'
0.974,-0.951,b'1.0'
0.33,-1.48,b'-1.0'
0.105,1.77,b'-1.0'
-1.02,-0.305,b'1.0'
-0.635,1.94,b'1.0'
0.44,1.16,b'-1.0'
-0.97,-1.6,b'-1.0'
2.22,1.31,b'1.0'
-1.18,-0.122,b'1.0'
1.46,0.0665,b'-1.0'
0.219,1.59,b'1.0'
1.09,0.812,b'-1.0'
1.15,1.68,b'1.0'
0.955,-0.23,b'1.0'
-0.103,0.0369,b'1.0'
0.619,1.65,b'-1.0'
-1.43,-0.357,b'1.0'
-0.765,-1.13,b'-1.0'
-0.664,1.18,b'-1.0'
-1.09,0.289,b'1.0'
-0.766,1.06,b'-1.0'
-0.436,0.821,b'1.0'
0.6,-0.38,b'1.0'
-0.124,0.181,b'1.0'
1.03,-0.0835,b'-1.0'
-1.71,-1.27,b'1.0'
-1.46,-0.179,b'1.0'
1.34,1.37,b'1.0'
1.47,0.574,b'-1.0'
0.716,0.487,b'-1.0'
0.0337,-1.13,b'-1.0'
-0.432,-1.34,b'-1.0'
0.344,1.49,b'-1.0'
1.29,-0.151,b'-1.0'
1.85,-0.558,b'-1.0'
0.0319,1.39,b'-1.0'
1.95,1.09,b'1.0'
-0.839,0.111,b'1.0'
-0.956,-0.77,b'-1.0'
1.08,0.839,b'-1.0'
0.0624,-1.05,b'-1.0'
-1.06,-1.24,b'-1.0'
-0.366,-1.52,b'-1.0'
-1.63,-0.363,b'1.0'
1.05,1.07,b'-1.0'
-0.47,-1.12,b'-1.0'
-1.45,0.377,b'-1.0'
-1.56,-1.05,b'1.0'
0.912,2.1,b'-1.0'
1.61,0.582,b'-1.0'
0.208,-1.21,b'-1.0'
0.929,-0.902,b'1.0'
-1.66,-1.52,b'1.0'
-1.85,-0.347,b'1.0'
-1.02,-0.0308,b'1.0'
0.569,-0.538,b'1.0'
1.43,-0.366,b'-1.0'
1.47,-0.0578,b'-1.0'
0.154,0.629,b'1.0'
-1.59,0.176,b'-1.0'
0.801,1.14,b'-1.0'
-1.5,-0.829,b'1.0'
0.271,0.0595,b'1.0'
0.188,0.914,b'-1.0'
-0.386,1.5,b'-1.0'
1.02,0.0541,b'-1.0'
0.82,-0.514,b'1.0'
0.804,0.6,b'-1.0'
-1.38,-1.11,b'1.0'
-1.01,-0.155,b'1.0'
0.683,1.6,b'1.0'
-1.62,-0.896,b'1.0'
-0.00515,1.75,b'-1.0'
-1.42,-1.28,b'1.0'
-1.8,-1.26,b'1.0'
-1.76,-0.632,b'1.0'
-0.0958,-1.66,b'-1.0'
-0.473,-1.55,b'-1.0'
-0.316,-1.36,b'-1.0'
-0.899,-1.25,b'-1.0'
-0.236,-1.54,b'-1.0'
0.546,-1.12,b'-1.0'
1.16,-1.3,b'1.0'
0.00921,-0.00839,b'1.0'
1.63,-0.43,b'-1.0'
-0.826,0.682,b'-1.0'
0.371,-1.23,b'-1.0'
-0.821,-0.855,b'1.0'
0.309,-1.03,b'-1.0'
-0.912,-0.484,b'1.0'
0.365,0.632,b'-1.0'
1.15,-1.69,b'1.0'
-0.714,-1.36,b'-1.0'
-0.467,1.3,b'-1.0'
0.177,-1.07,b'-1.0'
0.589,0.557,b'1.0'
-1.85,-0.35,b'1.0'
0.676,0.892,b'-1.0'
-1.49,-0.498,b'1.0'
-1.28,0.72,b'-1.0'
0.166,-1.25,b'-1.0'
0.448,0.71,b'-1.0'
-1.9,-1.46,b'1.0'
-0.922,0.533,b'-1.0'
0.307,0.12,b'1.0'
0.328,0.553,b'-1.0'
-0.847,-0.871,b'-1.0'
1.08,0.437,b'-1.0'
0.173,-0.428,b'1.0'
-0.818,-0.69,b'1.0'
-0.583,-0.743,b'-1.0'
-0.768,-0.0166,b'1.0'
-2.04,0.131,b'-1.0'
-1.16,-1.01,b'-1.0'
0.995,0.131,b'1.0'
1.32,-0.616,b'1.0'
0.993,0.397,b'1.0'
-0.606,3.19,b'-1.0'
0.811,0.00911,b'1.0'
-0.462,-0.707,b'-1.0'
0.304,-0.00393,b'1.0'
-1.94,0.598,b'-1.0'
-0.372,1.54,b'-1.0'
0.341,-1.43,b'-1.0'
-0.78,-0.43,b'1.0'
0.247,-0.233,b'1.0'
-0.561,0.473,b'1.0'
-0.524,-1.09,b'-1.0'
-1.99,-0.912,b'1.0'
-2.0,-0.0624,b'-1.0'
0.554,1.19,b'-1.0'
0.899,1.4,b'1.0'
0.794,1.01,b'-1.0'
0.417,0.348,b'1.0'
-0.597,-1.6,b'-1.0'
1.71,-0.289,b'-1.0'
-0.461,0.343,b'1.0'
-1.02,-0.469,b'1.0'
-0.434,1.98,b'-1.0'
-0.299,-1.4,b'-1.0'
-1.67,-0.875,b'1.0'
-0.192,1.04,b'-1.0'
0.108,-0.769,b'-1.0'
-0.58,1.34,b'-1.0'
-1.17,-0.95,b'1.0'
-0.124,-0.95,b'-1.0'
0.283,-1.56,b'-1.0'
0.418,-0.711,b'1.0'
1.2,0.286,b'-1.0'
0.295,-0.273,b'1.0'
-1.37,-0.904,b'1.0'
0.0175,1.47,b'-1.0'
1.64,0.513,b'-1.0'
0.557,1.38,b'-1.0'
-0.878,0.659,b'-1.0'
0.254,2.42,b'-1.0'
0.961,0.454,b'-1.0'
-0.994,0.192,b'1.0'
-1.07,-0.622,b'1.0'
1.95,1.53,b'1.0'
0.281,-0.4,b'1.0'
1.29,0.283,b'-1.0'
0.586,-0.273,b'1.0'
-0.0272,1.86,b'1.0'
-1.65,-0.0692,b'1.0'
1.22,-0.345,b'-1.0'
-1.53,0.132,b'1.0'
-1.51,-0.248,b'1.0'
-1.2,-1.04,b'-1.0'
0.299,1.52,b'-1.0'
-0.687,1.01,b'-1.0'
0.479,-0.821,b'-1.0'
1.08,-0.133,b'-1.0'
-0.888,-1.59,b'-1.0'
-1.52,0.497,b'-1.0'
0.198,-1.41,b'-1.0'
-0.211,-0.492,b'1.0'
0.0647,-1.22,b'-1.0'
-1.28,-1.07,b'1.0'
-0.0779,-0.967,b'-1.0'
0.369,1.69,b'-1.0'
-0.826,-0.966,b'-1.0'
-0.394,1.6,b'-1.0'
1.2,-0.68,b'1.0'
0.942,1.89,b'1.0'
-0.817,-1.11,b'-1.0'
0.405,1.93,b'-1.0'
0.666,-1.52,b'-1.0'
0.152,-0.964,b'-1.0'
-0.82,-0.76,b'1.0'
0.72,-0.316,b'1.0'
-0.201,0.596,b'1.0'
-0.594,-1.21,b'-1.0'
-1.07,0.0456,b'1.0'
1.05,0.397,b'-1.0'
-1.12,-1.2,b'-1.0'
1.5,-0.38,b'-1.0'
-2.06,-1.23,b'1.0'
0.785,0.158,b'1.0'
0.867,-1.19,b'1.0'
0.624,-1.31,b'-1.0'
-0.509,-0.932,b'-1.0'
-0.565,-0.853,b'-1.0'
0.0662,1.62,b'-1.0'
0.0852,-0.852,b'-1.0'
0.399,-1.48,b'-1.0'
1.27,0.433,b'-1.0'
-0.441,-1.45,b'-1.0'
1.0,0.285,b'1.0'
-1.01,-1.47,b'-1.0'
0.873,-1.03,b'1.0'
-0.144,-1.03,b'-1.0'
1.25,-1.62,b'1.0'
-0.149,0.816,b'1.0'
0.893,0.691,b'-1.0'
-0.136,-1.41,b'-1.0'
0.569,1.44,b'-1.0'
-1.93,-0.0856,b'1.0'
-0.625,1.65,b'-1.0'
-1.16,-0.285,b'1.0'
-0.903,-0.988,b'-1.0'
0.486,1.05,b'-1.0'
-0.0145,-1.15,b'-1.0'
-0.678,-1.32,b'-1.0'
1.29,-0.499,b'-1.0'
-0.116,1.26,b'-1.0'
1.1,-0.374,b'1.0'
1.06,0.913,b'-1.0'
0.19,0.969,b'1.0'
-0.487,-1.19,b'-1.0'
-1.79,-1.46,b'1.0'
-0.0388,-0.984,b'-1.0'
0.893,-0.327,b'1.0'
1.38,-0.244,b'-1.0'
1.01,-1.12,b'1.0'
